Temperature,Concentration,ConcentrationRatio,Time,STY,E_factor
136.75,399.999,2.06,16.15,20.39661080796496,33.33333677854696
133.25,399.9996,1.26,19.65,10.427620514966094,38.26798771843367
115.75,399.9994,2.1,17.55,6.335996231598364,102.17539675939082
122.25,399.9993,2.42,19.55,10.646707481242757,60.391194557997196
127.25,399.9996,3.34,15.75,19.44871004560199,52.967483615303706
115.25,399.9999,4.78,15.95,13.788719734142331,100.87532875143856
116.75,399.9997,2.62,12.65,8.421089283569701,126.61146664799887
111.75,399.9994,4.22,18.65,9.84297905753462,108.60840591275434
147.75,399.9991,4.46,17.15,68.89270978788517,16.85851520842172
107.25,399.9997,1.34,18.95,2.374437872322468,185.07305980669997
117.75,399.9995,4.9,17.05,16.32453466751024,81.25730587929837
149.75,399.9997,4.86,15.35,82.17999674156079,17.02017736775762
109.75,399.9998,3.42,12.95,7.125178698585532,181.69567167054106
125.25,400.0,2.74,16.85,14.328453653198912,57.332900132136636
120.25,399.9999,2.58,11.15,10.241913368871586,116.61107493176236
131.75,399.9998,3.38,13.45,25.35862458806658,47.94648778428561
146.25,399.9994,2.82,19.25,42.77877752005631,16.498539624032162
133.75,399.9997,4.58,13.15,37.60607102436107,42.65763752219222
129.75,399.9992,4.14,12.85,27.682182078506827,54.647274821984865
110.25,399.9998,1.82,10.45,3.9450817769856674,249.58297375882094
124.75,399.9995,1.74,19.45,8.908398303089193,56.73820978746309
101.25,399.9994,1.7,15.45,2.0047209164071442,316.7298736102834
112.75,400.0,4.42,16.65,10.978958130690382,113.53461086713817
148.75,399.9999,4.3,16.75,70.06982770100448,16.421733677345856
127.75,399.9998,1.98,10.85,12.191197979451236,82.03381570324837
132.25,399.9992,2.7,13.05,21.038987141265487,49.700870596790324
123.75,399.9996,3.66,12.35,17.627892531767326,80.93014832949892
139.75,399.9993,3.22,11.05,37.3152492369821,37.9045112987506
145.25,399.9999,2.94,18.15,42.75059357106999,18.202205977255534
148.25,399.9991,1.3,11.55,24.08067449873974,28.515799497364945
102.75,399.9996,2.38,17.35,3.1029151381209394,233.32442967462654
116.25,399.9998,1.86,18.75,5.785976173716907,95.72798429369006
101.75,400.0,2.46,14.25,2.9989827836219733,301.82436384822586
141.25,399.9994,2.22,12.05,28.156671319255253,34.257046688576885
138.25,399.9998,1.62,14.95,17.59549898708464,35.17027691761233
126.75,399.9998,3.94,13.25,22.35357074869584,63.077517132360306
110.75,399.9994,1.42,14.55,3.171557147382758,187.50562650038347
100.25,399.9993,1.5,14.85,1.6515763151666332,366.984568107794
103.75,399.9991,1.06,17.95,1.4852631388489204,270.1969572889435
143.75,399.999,1.22,10.55,18.093865452899244,40.295620351186365
142.25,399.9992,3.74,13.65,47.67414787347039,26.910611601805023
118.25,399.999,3.1,17.65,10.773005265451829,80.7913659521459
131.25,399.9999,3.3,14.15,24.05817348442874,47.081352836852155
132.75,399.9991,1.78,11.85,14.483915124511165,58.23852284067734
100.75,399.9993,3.98,16.45,4.5071386135479194,257.1779086409439
113.25,399.9995,2.9,13.95,7.514242407043985,139.5813019900711
136.25,399.9995,4.66,18.85,41.767123719676775,26.836426533876065
134.75,399.9993,1.38,15.05,12.49320114025529,44.39683294963691
119.75,399.9995,4.7,13.35,17.789889937118353,91.96648754169644
146.75,399.9996,2.14,12.15,35.81469091701393,25.740174990659153
122.75,399.9991,4.94,15.25,22.0323272825761,67.62672809948745
103.25,399.9999,4.02,19.05,5.388101597820734,187.07982363436943
118.75,399.9995,4.18,19.85,14.748462011026493,67.1719618332432
149.25,399.9993,2.66,17.25,47.29409834869652,15.862966051991455
121.75,399.9991,3.18,14.45,13.63322789407766,79.60121876666835
104.75,399.9992,4.5,14.05,6.695001614963999,225.0484169089407
147.25,399.9999,1.58,17.45,26.75805087100232,19.027751258612835
139.25,399.9993,1.94,10.95,22.407151390954652,43.099051572818105
123.25,399.9997,2.3,10.35,10.920296113630078,107.7249636163021
108.75,399.9994,3.7,16.95,7.178197887459575,146.93833792962678
105.25,399.9994,4.74,11.95,7.304987135446904,253.7952356838163
121.25,399.9996,3.06,11.25,12.842923010584729,105.51053603954746
114.25,399.9997,4.98,16.55,13.499405673290292,102.93792384805106
137.25,399.9995,3.5,12.45,35.198854329534676,38.21234636104955
117.25,399.9996,3.82,14.35,12.526358505923426,101.8590937581323
102.25,399.9996,2.18,11.65,2.7557618171932186,366.52090558535116
106.75,399.9997,4.26,15.65,7.237349972302621,178.0867421477996
135.75,399.9999,3.78,13.85,34.73222956655735,37.09671337805598
128.75,399.9991,3.54,18.25,22.122602875908626,41.96607545234512
120.75,399.9993,2.5,16.35,10.133509222874533,78.09389068893637
143.25,399.9992,4.82,11.45,64.14819245331329,29.726592297230074
119.25,399.9997,3.62,13.75,13.391964398926396,94.97826178192369
128.25,399.9998,1.54,11.75,9.776529468525306,78.98610176444114
140.25,399.9997,1.9,12.25,23.013640596182736,36.80155771060615
111.25,399.9991,2.86,10.25,6.579503885497082,215.0895534708755
126.25,399.9999,1.66,10.65,9.411509478744087,95.55409722177987
140.75,399.9999,3.26,18.45,37.83503676746399,22.21421452026321
112.25,399.9992,1.18,15.85,2.8942205432393515,167.28409000320812
144.75,399.999,4.34,18.35,58.43436948740508,18.221347364873033
134.25,399.9995,4.62,19.15,37.49167838257271,29.297732374433505
107.75,399.999,1.46,10.15,2.6858838241749585,324.0702800245959
125.75,399.9993,2.98,17.75,15.943128611250087,52.22648046188099
138.75,399.9991,1.1,12.75,12.484761924631872,45.446663405127076
113.75,399.9991,3.14,11.35,8.408561880348667,163.6662050139699
135.25,399.9995,4.54,19.75,38.63458944931535,27.080540298663493
